Ulasan,Daya Tarik,Aksesibilitas,Amenitas,Pelayanan Tambahan
"ini tempat keren banget, pantai alami (bener2 alami), masih jarang pengunjung,berasa pantai pribadi cuma fasilitas masih minim
indonesia punya â¦",1,0,1,0
"kedepannya semoga lebih baik,karena sangat berpotensi dg adanya keindahan alam ini",1,0,0,1
"pantai yang sangat luar biasa, banyak sekali pengunjungnya baik itu orang madura sendiri atau luar madura",1,0,1,1
"bagus, pasirnya lembut, makanan juga harga sesuai tidak terlalu mahal, cocok untuk liburan keluarga",1,0,1,0
"pantai yang indah dan menyenangkan cocok untuk berlibur bersama keluarga, kuliner murah2 dan enak",1,0,1,0
mantap air'a juga jernih ombak'a pas buat berenang  pasilitas lengkap .  bagus sudah,1,0,0,0
"tolong iya buat pedagang nya blajar etika tolong jangan ngusir ngusir untuk pindah ke belakang
kalau tetep kayak gini sebentar lagi tu pantai g bkalan ada pengunjung",0,0,0,-1
"pantai pasir putihnya bagus, bersih. ada wahana atv dan spot foto yang kece2 ð â¦",1,0,1,0
"lumayan....
tlog lebih di usahan untuk kbersihan dan penataan acsesories pantaix...
tuhan luck",-1,0,-1,0
gk sesuai ekspektasi.. pantainya rusak karena abrasi.. semoga bisa kembali bagus agar pengunjung tidak kecewa..,-1,0,0,0
"pantainya bagus, pemandanga dan suasananya adem. banyak jajanan juga",1,0,0,0
suasananya tenang dan pasir putihnya yang membuat pemandangan menambah panorama pantai tlangoh menjadi lebih indah,1,0,0,0
"alhamdulillah pantai nya bersih dan penjual makanan nya ramah, harganya murah",1,0,1,1
pantai pasir putih yang keren bersih dan menjadi tempat wisata untuk keluarga.,1,0,1,0
"pantainya indah, lumayan adem karena kesana waktu sore, harga murah..",1,0,1,0
"masih banyak yang perlu ditambahkan misalnya banana boats, kapal untuk pengunjung yang ingin ke laut.dan la la",1,0,-1,0
"akses mudah. pasirnya bersiihh, putih. tidak terlalu luas memang, tapi lumayan buat yang butuh vitamin sea, he..",1,1,1,0
"pantainya masih bersih, biaya masuk nya juga murah, hanya 5rb/orang",1,0,1,0
"kurang terawat. pasirnya sebagian sudah terkikis, dan sampahnya sangat menggangu pemandangan.",-1,0,-1,0
panas. harga makanan mahalmahal.,-1,0,-1,0
benar2 indah dan layak untuk direkomendasikan menjadi salah satu wisata pantai terbaik,1,0,0,1
"pantainya bersih, harga murah. seru banget main ombak",1,0,1,0
pantainya bersih dan masih alami . tapi masih kurang sarana pendukung,1,0,1,0
"bersih.
kurang fasilitas untuk anak.
harga di warung tidak dicantumkan .
bisa mengakibatkan beda harga",-1,0,-1,0
pantainya masih kotor banyak sampah plastik jadi sepet ngeliatnya ð â¦,-1,0,-1,0
banyak spot foto di sini. pantainya bersih. harga tiket masuk juga terjangkau,1,0,1,1
"bagus dan lumayan tempatnya ...
kebersihan terjaga... â¦",1,0,1,0
"pantai yang bersih , nyamaaaan",1,0,1,0
alternatif pantai pasir putih terdekat dari sby....drpd jauh2 ke situbondo atau malang selatan,1,1,0,0
"bagus, cocok untuk main pasir.
buat pengunjung, tolong buang sampah pada tempatnya iya.",1,0,1,0
nyaman pantaix hanya saja petugas loket tidak ramahâ¼ï¸,-1,0,-1,-1
"murah, bagus, buka sampai malam",1,0,1,0
pantainya bagus...masih bersih...akses masuk juga gk sulit,1,1,1,0
"pantai yang masih bagus,sayang sekali akses jalan kurang baik.",1,1,1,1
pasirnya putih... tidak ada sampah... kamar mandi airnya ada... warung lengkap...,1,0,1,0
mayan untuk santai ria tidak jauh dari surabaya,0,1,0,0
bagus dan nyaman tapi kesini nya kebetulan waktu pasang jadi ga berani foto di ayunannya..,-1,0,0,0
"bagus, hanya perlu ditingkatkan lagi mengenai kebersihan pantai",1,0,-1,0
pantai yang bagus....tapi tiap fasilitas umum bayar iya teman teman...seperti ayunan dan toilet,1,0,1,0
ok bagus cukup bersih ada spot foto,1,0,1,0
"pantai bagus, view dan ombaknya indah. lokasi juga dekat",1,1,1,0
apa apa harus bayar to sewa ..sampai duduk saja bingung mau dimana..fasilitas umum belum memadai semua,0,0,-1,-1
"bagus, pantainya bersih dan harga tiket masuknya pun terjangkau...",1,0,1,1
"pantai bagus, hanya saya sampah makanannya banyak banget ð, â¦",1,0,1,0
"pasirnya putih, halus. dan bersih",1,0,1,0
"hanya sampai pintu masuk, belum sempat masuk karena air lautnya pasang ð â¦",1,0,0,0
"cukup ramai, banyak orang jual juga, akses jalannya sudah sangat bagus",1,1,0,0
pantai nya kurang bersih dan masih belum siap untuk di jadilah wisata,-1,0,-1,0
pantai nya pas pasang gak bisa menikmati pasir putih nya harus nuggu pas surutttt,1,0,0,0
banyak sekali pedagang kaki lima yang tentunya mengurangi keindahan pemandangan pantai,-1,0,0,0
gak perlu jauh jauh ke bali kalau mau cari pantai pasir putih yang bersih.  cukuo di pantai selatan tlango bangkalan madura,1,1,1,0
"bersih, pasirnya halus, bisa buat main air anak2",1,0,1,0
"pantainya bersih, pasirnya putih, ombaknya landai, bagus",1,0,1,0
"salah satu keindahan karya ciptaannya ada di utara pulau madura, mohon dijaga kebersihan dan keamanannya",1,0,1,1
"bagus sih untuk view sunrise dapat. tapi, sampah masih menjadi masalah klasik disini",1,0,1,0
tempatnya bagus. saran saja. kalau bisa ditambah tempat duduknya. kalau duduk di warung warung gak enak.,-1,0,-1,0
"pantainya bagus sekali, pertama kalinya saya kesini ketemu pantai baru ini di daerah bangkalan, madura",1,0,0,0
pantainya banyak sampah dan tempat untuk foto banyak yang rusak,-1,0,-1,0
cukup bersih dan fasilitas cukup lengkap,1,0,1,0
pantainya sangat indah dan harga tiketnya terjangkau,1,0,1,1
pantai dengan pasir putih di bangkalan. tempat yang langka di madura - pantai berpasir putih di madura (khususnya di bangkalan). wajib dikunjungi jika kita berkunjung ke bangkalan.,1,0,0,0
lumayun bersih.. terasa di pantai parang tritis...kasih kolam renang...he,1,0,1,0
bagus wisata pantai pasir putih cocok untuk keluarga,1,0,1,0
"menarik, cuma akses jalan kurang lebar, juga ke batu kapur, jalan sangat parah",0,-1,-1,-1
"pantainya bersih,pasirnya pun putih
bener2 bagus",1,0,1,0
sayang waktu kesana lautnya pasang sehingga tidak bisa bermain pasir di pantai,1,0,0,0
"sebenernya bagus, tapi sayang pas kesono malam, jadi airnya lagi pasang",1,0,0,0
sangat cantik dan cocok untuk tempat berwisata bersama keluarga ð â¦,1,0,1,0
viewnya mantap ...,1,0,0,0
pasirnya putih airnya bersih,1,0,1,0
"pantai pasir putih terdekat dari surabaya ...
cocok untuk berendam dan main air laut ...",1,1,1,0
"bagus, meski tidak sebagus dulu, mngkin karena air laut sedang pasang",1,0,0,0
pantai yang bersih dan cantik..,1,0,1,0
"mulai ada pengembangan. pasirnya putih, warga ramah dan fasilitas oke.",1,0,1,1
bagus sayang banyak sampah dari pengunjung dan warung setempat,-1,0,-1,0
"pantainya bagus,, masih dalam tahap pengembangan",1,0,0,0
bagus pantainya biru dan pasirnya masih bersih..,1,0,1,0
pantai baru yang bisa bersaing.. dari segi fasilitas dan htm udh bagus,1,0,1,0
"tempat nya bagus, fasilitas juga lengkap, banyak yang jualan juga",1,0,1,0
"pantai masih sangat alami, pasir putih
airnya jernih",1,0,0,0
bersih dg akses jalan masuk yang tidak jauh dan bagus,1,1,1,0
"tempat yang seru buat liburan bersama keluarga, salah satu tempat yang the terbaik di tanjung bumi",1,0,0,1
pantai yang termasuk baru ini menyimpan keindahan alam dengan pasir putihnya,1,0,0,0
wahh saya sureprise sekali ketika pertama kali ke pantai tlangoh ini. biasanya pantai di bangkalan biasa2 saja. tapi untuk pantai tlangoh ini sangat menakjubkan,1,0,1,0
salah satu pantai yang menurutku keren banget,1,0,0,0
pantai nya sangat bagus dan pasir nya juga putih bersih,1,0,1,0
pantainya cukup bersih dan ombaknya gk besar,1,0,1,0
pantainya bersihðð â¦,1,0,1,0
"pantainya bersih.
bagus",1,0,1,0
"hamparan pasir yang bagus, perlu didukung konservasinya oleh semua pihak.",1,0,0,0
pemandangan bagus dan menu makanan lumayan bervariasi,1,0,1,0
bisa dibilang pantai disini cukup sempurna kalau soal keindahannya,1,0,0,0
pantai yang indah dengan pasir putih,1,0,0,0
tempat jualannya terlalu rapat jaraknya.. pantai lumyan.. toilet bersih,1,0,1,0
lumayan bersih cuma kalau kesini mendingan sore hari,1,0,1,0
"harga makanan masih murah,cuma kurang bersih..",-1,0,-1,0
nyaman dan bersih. pepohonan mohon ditambah. biar tambah sejuk,1,0,1,0
"pernah dateng,ingin masuk sendirian tapi ditolak harus rombongan",0,0,0,0
"pantai kotor, harus di perhatikan lagi kebersihanya.",-1,0,-1,0
boleh lah dengan suasana seada nya  lumayan ramai juga pengunjung nya,1,0,1,0
minimnya ke sadaran para pengelola rekreasi terhadap kenyamanan dan keamanan pengunjung.,0,0,0,-1
pantai bagus.... durennya harga terjangkau....ð â¦,1,0,1,0
"bagus cocok buat liburan sama keluarga
cocok untuk yang butuh refreshing",1,0,1,0
"mahal
dan pantai nya rusak
not rekomendasi",-1,0,-1,0
bagus... pemandangan  indah,1,0,0,0
pantai yang bagus,1,0,0,0
"bagus banget sih, cocok buat liburan keluarga",1,0,1,0
"bagus, harga makanan terjangkau",1,0,1,0
"mengenakan tidak bosan""
mohon lahan parkir mobil nya di perluaskan terima kasih ð â¦",1,1,1,0
"keren, tapi masih banyak sampah yang berserakan sehingga mengganggu pemandangan...",-1,0,-1,0
sangat indah..,1,0,0,0
"tempatnya bagus, garis pantainya panjang..",1,0,0,0
"bersih, akses mudah dan harga makanan relatip murah",1,1,1,0
suasana nya bagus dan enak buat liburan keluarga,1,0,0,0
pantai nya bagus tapi sekarang lagi ombak,-1,0,0,0
bagus sekali pantainya,1,0,0,0
nyaman sejuk bersih fasilitas lumayan lengkap mantapp,1,0,1,0
"bagus,tapi tingkatkan kebersihannya dan juga perbanyak juga tempat sampahnya",1,0,1,0
pantai lumayan bersihððð â¦,1,0,1,0
"sip pasirnya putih,air pantai bersih",1,0,1,0
"bagusan dulu sih dari pada sekarang,pas viralânya",1,0,0,0
tempatnya bersih... makanannya enak dan murah...ð â¦,1,0,1,0
pantai yang indah dan nyaman untuk bersantai bersama keluarga.,1,0,0,0
sangat bagus dan alami,1,0,0,0
perlu perawatan dan ditinasi tambahan agar lebih menarik,0,0,0,-1
"wisata air,di jawa timur, murah meriah, lumayan bagus",1,0,1,0
pantainya bersih dan indah...,1,0,1,0
"bagus banget, dan pasirnya putih bersih",1,0,1,0
"tempat bagus, akses jalan perlu di benahi",1,1,0,0
"masih alami..
tiket masuk murah meriah..",1,0,1,1
rekomen untuk mantai yang banyak tempat nongkrongnya,0,0,1,0
pantainya sungguh luar biasa indahnya seperti di bali,1,0,1,0
masih bagus  alam nya.. tanpa polusi kota,1,0,0,0
indah pantainya. pasirmya putih dan lautnya  iru,1,0,0,0
dateng pas air pasang jadi gak bisa main pasir,-1,0,0,0
"bersih dan banyak tempat nongkrong
kulinernya banyak",1,0,1,0
harga cukup terjangkau tetapi tempat sangat puas,0,0,1,0
pantai bagus namun tetap kebersihannya lebih dijaga dan penataan pedagangnya lebih baiknlagi. cc pemkab bangkalan,1,0,1,1
bersih pantai nya,1,0,1,0
tempatnya bagus....suka view nx...,1,0,0,0
pantainya bagus dan bersih,1,0,1,0
pantainya bagus pasirnya lembut,1,0,0,0
bagus... untuk rekreasi sekeluarga....ððð â¦,1,0,0,0
"indah, angin kencang",1,0,0,0
wisata pantai yang ga kalah dari kuota bali,1,0,0,0
"bagus, bersih, warga ramah..",1,0,1,1
pantai nya bagus,1,0,0,0
view lautnya bagus,1,0,0,0
termasuk pantai yang bersih,1,0,1,0
bersih pantainya(alami),1,0,1,0
pantai nya bagus nan indah,1,0,0,0
"bagus, pasirnya bagus banget.",1,0,0,0
saya sudah pernah ke sana dan tempat nya indah sekali,1,0,0,0
pantai yang indah dengan pasir yang putih.,1,0,0,0
lumayan bagus. cocok untuk keluarga.,1,0,1,0
"fasilitas pendukung tidak terawat,",0,0,-1,0
"masih natural, alami, cukup bersih, instagramable",1,0,1,0
"indah banget, pasirnya pun putih halus",1,0,0,0
pantainya lumayan bagus,1,0,1,0
pantai bersih. makanan murah-murah,1,0,1,0
bagus pantainya recomended,1,0,0,0
pasirnya sangat putih dan bersih  ððð â¦,1,0,1,0
kebersihan pinggiran pantai kurang,-1,0,-1,0
karena ombaknya terlalu besar,1,0,0,0
"indah, bersih dan menyenangkan.",1,0,1,0
pantai sangat bagus,1,0,0,0
pasir putih dan ombaknya keren ðð â¦,1,0,0,0
pantai agak kotor dan panas,-1,0,0,0
pantainya bagusss,1,0,0,0
nuansa alami...deru ombak landai,1,0,0,0
jelas terasa keindahannya,1,0,0,0
pemandangan yang indah,1,0,0,0
pelayanan yang cepat servis,0,0,0,1
enak di kunjungi sore hari.,1,0,0,0
kalau air pasang jadi jelek,-1,0,0,0
pasirnya bersih,1,0,1,0
pasirnya putih jadi suka,1,0,0,0
pantai bersih,1,0,1,0
indah banget goodð â¦,1,0,0,0
kebersihan terjaga...,1,0,1,0
pasirnya putih,1,0,0,0
pasir'ya bagusð â¦,1,0,0,0
indah bngttttt,1,0,0,0
"ada atv,  pasir putih",0,0,0,0
bersih...alami,1,0,1,0
indah poolll....pemandangannya,1,0,0,0
pantaix tenang dan indah,1,0,0,0
lumayan view,0,0,1,0
cantik ombakny,1,0,0,0
pantai yang nyaman,1,0,0,0
pantai yang kayak pantai,1,0,0,0
wowww alhmdulilah sampai juga kesinii... tempatnyaa bagusss kalau kata akuu yahhh dengan view laut yang biruu rasanyaa bikin betahhh terus.. dan tersedia berbagai makanan dan cemilan minuman juga.  . harganya terjangkau.. area parkir juga luas.. â¦,1,1,1,0
"pantai ini sebenarnya punya potensi untuk dikembangkan : ombak yang tenang, garis pantai yang panjang, dan ketika sore bisa untuk menikmati sunset. tapi sayang sepertinya kurang perhatian pemerintah setempat. htm ketika itu hanya parkir â¦",1,1,1,0
"berkunjung saat weekday, sata hari libur nasional.
tarif masuk per orang rupiah 5.000
tarif parkir kendaraan mobil rupiah 10.000 dan motor rupiah 5.000 â¦",0,1,1,0
"sangat tidak memadai , sepi dan tidak ada penjual makanan , parkir mobil 10k biaya perorang 5k",-1,-1,-1,-1
"pantainya bagus, cuma kalau sehabis pasang jadi agak kotor. pertama kali kesana waktu hari kerja di bulan oktober pakai motor parkir di masjid dekat situ, jadi tidak ada biaya parkir ketawa... lagi pula memang tidak ada loket yang â¦",1,1,1,0
"pantainya bagus, aman untuk bermain, akses juga mudah, tiket pun murah.
tempat perahu nelayan berlabuh.
namun belum ada fasum yang baik dan warung makan dan jajan.",1,1,1,1
"surga yang tersembunyi sih menurutku..
biaya masuk cuma 8k untuk 2 orang dan sudah termasuk biaya parkir, pas itu datang siang tidak terlalu ramai â¦",1,1,1,0
pantai pasir putih yang lumayan luasss. tidak ada remukan batu karang jadi nyaman banget buat lari-lari tanpa alas kaki. bisa lihat kapal-kapal nelayan juga. â¦,1,0,1,0
"saran saya lebih baik bawa makan dari luar/bawa dari rumah, untuk htm murah banget, sedikit kotor untuk area pantai seperti gak dirawat/sampah2 gak pernah dibersihkan (karena susah cari tempat sampah, pengunjung pun buang sampah sembarangan)",-1,0,-1,-1
"tempatnya sangat bagus, bersih, belum banyak pengunjung.
ombaknya tidak terlalu besar tapi nyaman untuk di nikmati.
bila anda menjelajah ke arah kanan pantai anda akan menemukan karang karang yang â¦",1,1,1,0
"pantai terbengkalai, tidak ada pengelola. ada toilet umum 2k/orang. masuk 4org dan parkir mobil hanya dikenai biaya 15k.",1,1,1,1
"pantai bersih indah dan tidak terlalu ramai pengunjung, meskipun dihari libur",1,0,1,0
"pantainya madura punya. dari jaman tahun 1990 an sudah ngetop, sayang untuk fasilitas umum kurang terjaga. semoga banyak perbaikan dan perhatian dari pemerintah sebagai salah satu pemasukkan untuk pemerintah.",1,0,1,1
"* ulasan ini berfungsi untuk agar para wisatawan mengetahui bagaimana  tempat pada tahun ini *
- pantai masih belum ramai dikunjungi, cocok untuk pengunjung yang mau merasakan â¦",1,0,1,0
"pantai indah, banyak perahu nelayan terawat berhias. pasir lembut dan bersih. tempat parkir luas dan nyaman. tiket masuk termasuk parkir rupiah 10 ribu",1,1,1,1
"pantai yang legend di pulau madura sisi utara.
lokasi merupakan spot yang bagus untuk menikmati sunset.
namun sayang sekarang kurang dikelola dengan baik seiring dengan gerusan abrasi yang merusak tepian pantai yang dulu terkenal dengan pasir putihnya.",1,1,1,1
"kondisi pantai yang bagus dan bersih, terdapat beberapa warung yang menyediakan makanan dan minuman meskipun sederhana, untuk toiletny bersih yang dikelola oleh warga setempat,,",1,0,1,0
"pantai yang dulu nya ramai pengunjung, jualan, souvenir,

tapi skrang pantai ini terbengkalai, tidak terawat, kotor, sepi tanpa pengunjung, â¦",-1,0,0,0
"indah sekali, masih bersih. tempatnya juga tidak terlalu ramai. ombak juga tidak terlalu besar jadi aman untuk bermain bersama anak-anak. pintu masuknya kurang terlihat. toko untuk jajan juga masih sedikit. fasilitas toiletnya bersih dan murah. buat prewed cocok sekali ð â¦",1,0,1,0
tempat yang sangat perawan dan sangat indah jangan lupa bawa topi dan kaos lengan panjang bila ingin main air di pinggir pantai. biaya tiket masuk plus parkir mobil/sepeda motor sangat terjangkau hanya 15.000,1,1,1,1
"tempat bersih,meskipun tidak ada pengelolah nya. setelah kena abrasi bibir pantai tambah lebar",1,0,1,1
"pantai yang sangat indah, aman untuk anak-anak, seru buat main, sunsetnya ok banget",1,0,1,0
pantainya tidak dirawat dan fasilitas umumnya rusak semua....kalau di perhatikan lagi bisa jadi objek andalan.,1,0,1,0
"google maps ternyata belum terbaru tntang pantai ini.....karena maps mengarahkan kita ke jalan menuju pantai yang sdh di tutup
& semua itu terbayar lunas karena pantai ini adalah â¦",1,1,0,0
"menikmati tenang dan semilirnya pantai utara. tidak terlalu berbatu, bisa main air di sepanjang pantai.",1,0,0,0
pantai nya sepi. serasa milik pribadi. bagus banget. sayangnya banyak sampah plastik. tapi tetep cantik. pasirnya kekuning2an. airnya hijau ke biru2an. cocok buat refreshing.,1,0,1,0
"pantai dengan keindahan yang masih natural dan jarang di jamah oleh banyak orang .dengan segala keterbatasannya pantai ini menurut saya tetap manjadi destinasi yang rekomen untuk pecinta pantai, dengan pasir putih nya yang lembut tidak kalah dengan pantai unggulan di luar pulau la di indonesia.",1,0,0,0
"sepi, masih belum banyak orang, pasir nya putih, lumayan kalau buat foto2 sekarang tidak ada yang jualan kalau dulu masih ada yang jual makanan seperti rujak dan souvenir",1,0,1,0
"tempat nya masih alami, sebenarnya spotnya keren, saysng belum dikelola dengan maksimal... kurang nya informasi dan infrastruktur penunjang pariwisata membuat lokasi ini masih asing buat traveller, misalnya loket, stand makanan dan minuman, â¦",1,1,1,0
pantai sebenarnya bagus. cuma kebersihan kurang terjaga. toilet berbayar dirumah penduduk terdekat dg pintu masuk. lokasi tersembunyi didalam desa kecil belakang pemukiman penduduk. jadi buat yang mengakses lokasi dg mengikuti arahan google map jangan ragu..memang harus melewati jalan kecil ke pemukiman penduduk dulu.,1,1,1,0
"pantainya standar, ga bening airnya, pasirnya putih seh tapi banyak sampah, jalannya kecil banget. biaya masuk 3rb, wc bayar 2rb",1,1,1,0
tempat yang bagus untuk mengisi liburan bersama keluarga. tapi masih banyak sampah dimana-mana dan kurang terawat.,-1,0,-1,0
"pasirnya putih , syukaa , tapi uda mulai banyak sampah , batu2 karang banyak yang hilang, penjual makanan juga berkurang , gak ada fasilitas kamar mandi , adanya cuma numpang kamu penduduk sekitar",-1,0,-1,-1
"pantai dengan ombak kecil
lumayan bagus sih meski tidak sebiru lautan biasanya
2 orang 1 sepeda idr 8k â¦",1,0,1,0
untuk berlibur akhir pekan sangat cocok karena harga tiket masuknya pun murah meriah. sudah ada orang yang berjualan juga jadi tidak perlu takut kalau lupa bawa makan.,0,0,1,1
"tempatnya bersih, bagus sih ..tapi sayang kalau mandi di laut, bilas nya kamu mandi keluar loket",1,0,1,0
pantainya asik....cuma sayang.....banyak ubur2 buatan alias pempres segala ukuran di pinggir pantai....jangan kotori alam.... cukup tinggalkan jejakmu jangan sampahmu......#salam lestari #salam harmoni....,1,0,1,0
"bagus sekali, sayang kurang didukung petunjuk arah jalan serta lokasi yang kurang terkelola baik toilet dan fasilitas lainnya.",1,1,1,1
pemandangannya bagus. tapi banyak sampah,1,0,1,0
"sekarang sudah terbangkalai,g di rawat.!
padahal dulu bagus.banyak pedagang.sekarang udh g di juga lagi.
tapi tetap suak..ð â¦",-1,0,-1,0
pantainya bagus harganya masuknya lumayan terjangkau,1,0,1,0
pantai terbersih se kabupaten bangkalan eh sampang eh gatau iya ð tapi pantai nya bersih lumayan pasirnya masih jarang di jumpai sampah â¦,1,0,1,0
madura.. pantainya lumayan bagus. tidak kotor dan cocok untuk liburan,1,0,1,0
"pantai yang masih asli, indah & eksotis dg pasir putihnya",1,0,0,0
"awalnya kerasa kayak salah pantai karena benar-benar sepi banget. tidak ada yang jaga pintu masuk juga jadi ngiranya sudah gak beroperasi. makin dieksplore lebih ternyata pantainya bagus dan cukup bersih. kalau mau mandi habis main air agak ""pr"" bagi yang anaknya jijikan karena airnya agak keruh.",1,0,1,0
"pantainya masih alami,  pasirnya putih halus, menyenangkan",1,0,0,0
kawasan wisata pantai yang kurang terjaga kebersihannya,-1,0,-1,0
"pantainya bagus dan bersih sayang kurang di kelola dg bagus, mungkin i love it",1,0,1,0
"murah meriah, jalan yang dilalui cukup baik, masih alami dengan ombak alami.",1,1,1,1
"tempat e bgus bgtt,mknannya mwuraaaahhhh, plng dr situ msuk angin ,bwa jaket ya gess",1,0,1,1
tempat wisata yang cukup bagus dan tidak terlalu ramai,1,0,0,0
"tempat wisata pantai pasir putih dengan view ombak laut yang tenang, bisa buat berenang dan main air. retribusi sukarela dan hanya bayar parkir rupiah 10rb untuk mobil. warga lokal gak ditarik biaya. pantai ini juga bisa dinikmati dari pinggir â¦",1,1,1,0
view pantainya bagus tapi tempatnya kurang terawat,1,0,1,0
"pantainya bersih,waktu kamu datang di bulan puasa jadi sepi dan bersih.tidak ada penjual makanan ha warung disebelah pantai.ada 1 toko sovenir menjual baju,handuk,sandal,dsb dengan hrg relatif murah. â¦",1,0,1,1
"bagus, saran saya perbanyak tempat sampah",1,0,1,0
"pantainya masih bagus karena mungkin disana masih gak seberapa ramai pengunjung, tiket masuk juga tergolong masih murah karena dikelola oleh penduduk sekitar.
seharusnya sudah mulai di tata yang bagus agar bisa diperkenalkan ke publik, â¦",1,0,1,1
"pantai ini tidak terlalu panjang bentangnya. tapi memiliki pasir putih yang bagus. hanyasaja infrastruktur sangat minim. bahkan kamar mandi masih menumpang di rumah warga. pantai ini cocok di gunakan untuk preweeding dikarenakan lokasinya yang sepi, sehingga tidak banyak gangguan dari pengnjung la.",1,1,1,0
"pantainya lumayan bersih dan lautnya jernih dan tenang  jadi anak saya bisa main pasirnya, viewnya lumayan,  bisa makan rujak madura pinggir pantai lhoo. pemerintah tambah gazebo saja di pantai dan penerangan disepanjang jalan pantura madura. soalnya ingin tunggu sunset takut kemalaman pulang ke bangkalan, jalannya juga rusak",1,1,1,0
masih sangat alami pantainya. relatif dekat dari kota bangkalan :),1,1,0,0
"meskipun menempuh perjalan yang lumayan jauh dan ayas tempuh hampir 2jam perjalanan dari gresik, namun setelah sampai di tempat ini rasa lelah dan penat hilang karena suasana yang masih asri belum banyak juga penjual2penjaja makanan semakim menambah â¦",1,1,1,1
"tempatnya bagus, dengan hawa khas pantai utara. tapi dari segi fasilitas sangat kurang terutama toilet, tempat mandi, akses masuk dan prasarana. semoga dikembangkan lagi",1,1,1,0
pantainya cukup luas. dari makam ratu ebu hanya 45menit. perlu dikembangkan fasilitas pendukung. kamar mandi sewa ok bersih,1,0,1,1
"pantai bagus, tapi sampah acak acakan, fasilitas acak acakan",-1,0,-1,0
pantai siring kemuning ini masih sangat bersih dan sepi. suasananya sangat  nyaman dan pemandangan nya indah. hanya fasilitas umum memang belum ada dengan baik. ada penjual rujak juga sayangnya tinggal satu yang bertahan jualan.,1,0,1,1
"lumayan bagus, apalagi pemandangan langitnya",1,0,1,0
pasirnya bagus tempatnya nyaman dan nyaman,1,0,0,0
datang saat jelang sunset.. ah indahnya negeriku..ð â¦,1,0,0,0
"pantainya bagus dan indah, landai bisa buat berenang, tapi perlu pengelolahan lebih baik lagi terkait kebersihan pantai",1,0,1,1
"pantainya bagus, htm sangat terjangkau, cocok untuk wisata santai keluarga yang ingin menikmati pemandangan pantai.",1,0,1,0
"pantai di utara pulau madura tepatnya di kota pamekasan... airnya masih lumayan bersih tapi berbatu sehingga kurang aman untuk berenang bagi anak-anak, jadi cukup bermain air dan pasir saja... view yang keren untuk berfoto... hanya saja â¦",1,0,1,0
"lumayan bersih ****
toilet kamar ganti dirumah penduduk dekat tidak jalan terlalu jauh seperti dipantai2 la **** â¦",1,1,1,0
kurang nya rambu2 membuat minat para wisatawan tidak tahu arah ke tempat tujuan harap diperbaiki......sangat nyaman buat rekreasi keluarga murah dan tidak terlalu jauh juga jalur yang landai....mantap buat kota sakerah.....,1,1,1,1
pantai yang indah namun masih minim fasilitas. fasilitas masih seadanya dikelola oleh warga sekitar pantai. tapi recomended buat liburan murah meriah bersama keluarga.,1,0,1,0
"pantainya bagus,ombaknya bagus, cuma agak kotor, yang jualan juga g rapi,mudah2 dan ada yang kelola biar lebih bersih dan rapi",1,1,1,0
"tempat yang bagus untuk bersantay sekeluarga,bersama kawan,maupun berdua,..tempatnya sejuk dengan semilir angin pantay menyajikan pasir putih nan mempesona",1,0,0,0
pantai lumayan bersih,1,0,1,0
lokasi sekitar 600m dari jalan utama,0,1,1,0
pantainya sepi...  enak sih buat yang suka sepi-sepi. tapi pasir sudah banyak terkikis karena penambangan,1,0,0,0
"3 motor 6 orang cuma 20k
pantainya cukup bersih dan sepi dari pengunjung ð  manteplah pokoknya â¦",1,1,1,0
"pantainya kotor, banyak sampah pembalut, botol kaca, plastik2.
bangunan2 disekitar pantai juga hancur semua.",-1,0,-1,0
"ombaknya bagus. tempatnya sepi jadi lebih privasi. luas. airnya warna coklat bukan biru. tidak ada stan makanan, yang ada toko kelontong.",1,0,1,0
pantainya sebenarnya bagus tapi sayang masih banyak sampah rumah tangga berserakan di pantai. my opini,-1,0,-1,0
"pantainya lumayan bagus  tapi
belum dikelola dengan baik tiket masuk murah hanya tiga ribu rupiah....",1,0,1,1
"pantainya bagus air nya jernih pasir putihya indah
tapi.. lokasinya tidak strategis kurangnya fasilitas umum nya sebagai pariwisata pantai",1,1,1,0
"lokasi yang tidak terlalu jauh dari surabaya, di sini bisa menikmati pemandangan laut yang jernih, pantai berpasir kuning, sepoi angin laut, dan bekas benteng tua.",1,1,1,0
"perlu pengelolaan serius dari pemerintah daerah setempat,aku datang waktu air pasang ga bisa buat renang....",0,0,0,1
"ditempat ini sangat indah, pasir nya sangat bersih, dan belum tercampur tangan manusia, di pantai siring kemuning ini bisa disebut bali nya madura, tapi masalah pantai nya lebih bersih di bali",1,0,1,0
"pantai lumayan bersih,jika ada yang jual makanan akan lebih bagus lagi",1,0,1,0
pantai pasir putih di bangkalan..mirip pantai delegan gresik,1,0,0,0
pantainya masih bersih.,1,0,1,0
perlu perhatian khusus dari pemkab setempat supaya bisa dijadikan obyek wisata pantai yang lebih menarik wisatawan lokal maupun asing,1,0,1,0
pantai ini sangat indah. cocok untuk keluarga dan anak remaja yang mau menghabiskan waktu bersama pasangan.nya.,1,0,1,0
"sayang sekali,,kurang terawat....padahal sangat potensial wisata pantainya...ð¦ðâº â¦",1,0,1,0
pesona pantai siring kemuning tanjungbumi bangkalan madura,1,0,0,0
